,Thal_MDl_L,Putamen_L,Thal_LP_R,Heschl_L,Paracentral_Lobule_R,Cerebellum_6_L,Thal_IL_L,SupraMarginal_L,Cerebellum_4_5_L,Postcentral_L,Cerebellum_9_L,Frontal_Sup_Medial_L,VTA_L,ACC_sub_R,Olfactory_L,Caudate_L,Frontal_Inf_Tri_L,Cerebellum_7b_L,Angular_R,Thal_AV_L,Precuneus_R,Thal_MDl_R,Paracentral_Lobule_L,Heschl_R,Hippocampus_R,Temporal_Inf_R,Cerebellum_8_L,Rectus_L,Amygdala_R,Thal_PuL_L
Precuneus_R,0.34443888926664273,0.3927110416317349,0.025793125178679488,0.4366180719274162,0.7881473709085158,0.5225359865727086,0.31860866038925345,0.706412077136146,0.7224179661357517,0.6094969341990402,0.42596201685778806,0.5294541649391099,-0.17176809280246494,-0.09262420321921169,0.0799189199921452,0.5551122951178681,0.5839323025493138,0.17011641043581482,0.8135355448958121,0.21752334226762346,1.0,0.05559848605545894,0.6748927978024855,0.5197894332167456,0.502464204111909,0.5893146036831991,0.3290373482613147,0.05761178394908049,0.16226621461477314,-0.01214058163899243
Thal_MDl_R,0.3525527345721992,0.23583081693287358,0.16827793225673338,0.25461688782390357,0.1320650113157034,-0.13575805109407463,-0.34761709896361376,0.004229040236506215,0.1433493825987467,0.10386052264403997,-0.25460275080702627,0.1484471031991293,0.5976056666244569,-0.4420529455849962,0.2522427122493019,0.25238995922126817,0.4364160399268702,0.19897016617441005,-0.03995522037836374,0.22317240072224034,0.05559848605545894,1.0,0.44176436888159504,0.4821201695592804,0.04271590940987871,0.06001788543935264,0.13374983565585413,-0.10135369678416603,0.32099750849626124,0.27890290099178755
Paracentral_Lobule_L,0.4742103078660225,0.4752089871311055,0.13284731933404648,0.15382747931322083,0.7334932894780509,0.15643206707520213,0.3509584588531237,0.46685015425391146,0.6735114316728815,0.5132514272161224,0.023890296740349558,0.4540182128937449,0.061199049229517716,-0.09324984325085359,0.10623913564314869,0.6567639615579962,0.6627803576432116,0.46113618832132947,0.5037865995002228,0.39986389996378924,0.6748927978024855,0.44176436888159504,1.0,0.7018602442816253,0.27014566612224694,0.36602690753437084,0.10831865487989101,-0.02172243147487197,0.19567899586794005,0.2666663268732912
Heschl_R,0.5966318339753743,0.5064463979080576,0.034524444584041865,0.4526529194999435,0.5246446908995018,-0.019129898567296844,0.2042506125305781,0.17304792503231886,0.6213700851754365,0.27766215270734157,0.023372288379907104,0.2971380855852554,0.10864659982114605,-0.17780316585852296,0.14198939780991168,0.6107204518454242,0.7735682054726616,0.18918603322890987,0.5202405504413815,0.2509221563422254,0.5197894332167456,0.4821201695592804,0.7018602442816253,1.0,0.07246100642764941,0.16045116774071963,0.02009336777559088,0.17197931939408911,0.1734746725361704,0.38781254229382495
Hippocampus_R,0.34075540728578013,0.37936399263021336,-0.04215666438306145,0.4829524297979741,0.41690653932259214,0.4187966770525277,0.06758765469545663,0.4087529730249248,0.5909424281401023,0.46957885565748864,0.6198970316756628,0.5296691323937894,-0.10131309303771308,0.19070618850852264,0.5246958462383627,0.5446951894474776,0.38253800415226086,-0.06847771477671141,0.2205593372381879,0.263849970556544,0.502464204111909,0.04271590940987871,0.27014566612224694,0.07246100642764941,1.0,0.6322391038251878,0.1509972642850863,0.18253441532262815,0.24090699575588564,0.00399377250513489
Temporal_Inf_R,0.07077571040392058,0.4666422791443572,0.1184184882544297,0.2767835976834359,0.591872251150671,0.4545123002831856,0.22661309879646138,0.4306525803738073,0.6183742633282617,0.5555962924552165,0.5747303994984115,0.3221088971844362,0.00037337729311887307,-0.015409520711247801,0.11977586154992068,0.4789559165744141,0.3091351761783563,-0.1031474643322108,0.36739839312211076,0.28178207245045667,0.5893146036831991,0.06001788543935264,0.36602690753437084,0.16045116774071963,0.6322391038251878,1.0,0.15179416654903172,0.22352691094472762,0.28972663756750855,0.17947663771697644
Cerebellum_8_L,-0.005115191869210508,-0.1068832907636325,0.18096488000040714,0.37639033509126996,0.03729793008893331,0.6734124459648423,-0.10744531576738665,0.4110458697569199,0.14376073132103312,0.0804859763358223,0.28004611245593725,0.31858681913216447,0.19571151024493522,-0.35439388675221317,-0.07344341739035322,-0.0649420754790672,0.21863060638420492,0.399361773342609,0.25823462763589833,0.0015114340073046192,0.3290373482613147,0.13374983565585413,0.10831865487989101,0.02009336777559088,0.1509972642850863,0.15179416654903172,1.0,-0.29690723818568154,0.18006149032697777,-0.17157964270785916
Rectus_L,0.1320421133081522,0.28785280443522504,0.1597396746721135,0.20966603964955866,0.07761358656500175,-0.07661144737040897,0.24807683695576713,-0.3310274414753922,0.26429559068625,-0.07394430534770809,0.23294379475853141,0.2267033957471969,-0.2653575869823818,0.3608472850081592,0.30731786047813775,0.40600872694660506,0.14289532608811623,-0.15659190694243752,0.12530312848160952,0.06546210672026954,0.05761178394908049,-0.10135369678416603,-0.02172243147487197,0.17197931939408911,0.18253441532262815,0.22352691094472762,-0.29690723818568154,1.0,0.07403457392193163,0.42924355684521276
Amygdala_R,0.13909712952265058,0.5069125096497772,-0.03672045936497865,0.20484889462187286,0.10502776575917605,-0.09642340811782926,-0.21632433015609576,0.20287008084861913,0.3376858373520933,0.4225681185355388,0.12731828186354704,0.21023633028927885,0.4551167272035252,-0.29179373255267665,0.11725990420155653,0.1511574425059745,0.3652753450931445,0.24183747970841257,-0.11857685491452646,0.3870565044084639,0.16226621461477314,0.32099750849626124,0.19567899586794005,0.1734746725361704,0.24090699575588564,0.28972663756750855,0.18006149032697777,0.07403457392193163,1.0,0.30652611395682006
Thal_PuL_L,0.32494608526356317,0.4324870231796714,0.38968978375132424,0.22890015043116207,0.07855572465200612,-0.1882877705068502,0.1557780987881902,-0.25056579078022256,0.3767700374984581,-0.07544779633551717,0.14008966713591556,0.14848736515888752,0.224904169319494,-0.06959416133747384,0.32444534315337703,0.40773712677714474,0.40713069353058123,-0.070301770190978,0.035481719773325114,0.28834426501810934,-0.01214058163899243,0.27890290099178755,0.2666663268732912,0.38781254229382495,0.00399377250513489,0.17947663771697644,-0.17157964270785916,0.42924355684521276,0.30652611395682006,1.0
