,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
Raphe_D,-0.32058939337187625,0.09063250841986442,-0.2126657055427838,-0.057121801213102376,-0.012251835327009658,-0.023460611588721595,0.262513792608372,0.36357829912206874,0.3335471401128105,-0.29197400852990474,-0.10868860221814633,0.07651189131807665,0.322747572285653,0.1755360878102011,0.5700003019336324,0.054120398756769494,0.2338254150567488,-0.07022883301915903,-0.21143423268528141,-0.06734898522319922,1.0,-0.39201369234521327,0.25019334899999246,-0.19413356159079675,0.14952103555509627,-0.16802709470614902,-0.3235489944622695,-0.0746950171446203,-0.0752169862598413,0.20118840255052153,0.4784965649405164,-0.10900122844901323,0.08958740816430301,-0.01220097840257991,0.14626007488888101,0.3405601938453213,0.47299811175702006,0.24184813187818718,0.2401106664453244,-0.17309084336700034
Frontal_Inf_Orb_2_R,0.6935351725704902,0.386626168522955,0.6869201985782911,0.5608151726576845,0.03643865859138793,0.39149512902998984,-0.233792423327414,-0.12214094518747753,0.05067789684821725,0.6931713249486788,0.19579903209433988,0.38636840542399337,0.21991863794414226,-0.10560140129943192,-0.5021965665536505,0.3929235964566591,0.23452523532654918,0.381665269714389,0.5396151647535028,0.10628359079152898,-0.39201369234521327,1.0,0.22448413916378568,0.16324154635480817,-0.2733091829334814,0.7108558319891943,0.7835565902714873,-0.08976377125830887,0.23068394877569237,-0.13729342855442622,-0.328429549171154,0.44715979184811455,-0.2038833943269289,0.5446140271553443,0.2694012175916287,0.37689974682017224,0.0727360180121868,0.3027691924874589,0.019582344846069907,0.7114361197545488
Insula_L,0.317959732807447,0.4844795491017626,0.3029395538112064,0.555960787131107,0.17296935298234575,0.6354320138206622,0.49029201914393244,0.10918214442145337,0.18026833194563116,0.4874282850200143,-0.06869322400641231,0.3426531820380116,0.433540040690933,0.3664192054704097,0.3241591692395105,0.41428514174834974,0.7501455848297939,0.6833491394689426,0.28598872306482387,0.15050297846135535,0.25019334899999246,0.22448413916378568,1.0,0.1262801858989946,0.07338992796790708,0.5262528701137547,0.04738430370680952,0.019686890015416892,0.37644449066358715,0.5405948178900256,0.3546191707272592,0.3568805883972375,0.22844259220967036,0.6409934438298666,0.5698725977065889,0.4465904155556795,0.5132168769352198,0.418608594712218,0.4423819534371512,0.3069076943481638
Postcentral_L,-0.12631527259235428,0.16777907710731146,-0.18700729103002936,0.468600838267165,-0.3465035029967056,0.3255423451451289,0.4190332096209383,0.07339615093344312,0.11314565825962382,-0.004253560120699715,0.09615111448865822,0.1874996882950629,0.20041467419342252,0.6602909899169849,-0.37533407866187524,-0.34356190538587655,0.14869135740459172,0.46528328623714515,-0.1123015269446168,0.8894212113743352,-0.19413356159079675,0.16324154635480817,0.1262801858989946,1.0,-0.03144954133590646,0.2863572503755614,0.3501261391104403,0.7023878085359518,0.7831475448624836,0.44653899092136523,-0.3025065106477723,0.2046567203992848,0.5197019813688429,0.029746834240906208,0.48149263632071493,-0.06705133686044137,-0.13220986126912682,0.0589713371357243,-0.5728649794594721,0.43212035363518975
Vermis_7,-0.12996832249190254,-0.1650370832743426,-0.1076581038390852,-0.20641916150533368,0.024403154749194064,0.003213516959755663,0.06374934903242029,-0.055739594071969,-0.18575772238968893,-0.18219651456017677,-0.4106052694447287,-0.16518695693240376,-0.13614475733114503,-0.01438227695367216,0.23358130705281108,-0.10520754074286774,-0.012906361155978466,-0.12926856323228259,-0.14548038315118225,-0.13883091200873868,0.14952103555509627,-0.2733091829334814,0.07338992796790708,-0.03144954133590646,1.0,-0.24445043184058432,-0.3096172601282984,0.0041649228698868316,-0.11611202657657246,-0.04466733192779975,0.10239762264742747,-0.056278473607665455,0.01382573694572354,-0.19322371272581607,-0.22031908682999096,-0.13865984493907121,-0.04032370914778385,-0.0714470806731268,0.16543904076527663,-0.33348321791511865
Hippocampus_R,0.594413947068765,0.6164324236277119,0.6646405250595595,0.7336106691726992,-0.13449659390341132,0.6056213689321944,0.2013801082396903,0.004605459785190677,0.3632912981259167,0.7487719012806613,0.12175372930606539,0.5620878969259379,0.5371024196103826,0.21127056230468283,-0.22665557002269057,0.5757888138962813,0.3895883810732594,0.6274132516682714,0.5153848735806957,0.26920280529037843,-0.16802709470614902,0.7108558319891943,0.5262528701137547,0.2863572503755614,-0.24445043184058432,1.0,0.6278795122423311,0.011449314273579309,0.4776968033307269,0.2742566867869027,-0.14347847233641092,0.37432014312000417,0.11187040814131341,0.8045987433394445,0.5088419908479389,0.4195917296122021,0.3568141934816262,0.2092870004361964,0.08774204341532837,0.6752693809566853
Cerebellum_10_R,0.5175056084958732,0.3710791541843789,0.5210497293763735,0.4786192224517806,-0.1802198411022538,0.3466973855247798,-0.2480095594892172,-0.23046110354676413,0.04209308724007192,0.5038961197802523,0.27479946368109764,0.4215564567891912,0.2980055886462959,0.12845241289287773,-0.7430144076226611,0.23642437935243557,0.07840583127715711,0.32690924478208744,0.4853169963766784,0.3166586932465143,-0.3235489944622695,0.7835565902714873,0.04738430370680952,0.3501261391104403,-0.3096172601282984,0.6278795122423311,1.0,0.08734766192358479,0.3585241626784379,-0.012593644087129315,-0.5792917233275324,0.4025504273093429,-0.16644001359861782,0.4441768733629891,0.27320768719307953,0.38793086317557185,-0.11627698839615942,0.24924266261687958,-0.2620746716234418,0.7052690032948347
Parietal_Sup_L,-0.33882406272866455,-0.15643828812205,-0.33993747144664604,0.25827679379222346,-0.20590239400512755,0.13005112062949142,0.5316954294965364,0.030747453860265794,-0.0015487702073249635,-0.2019583201660777,0.024023923385401217,-0.1496626067944353,0.03236728854042535,0.5494164994181491,-0.2899762171002369,-0.42132859363033076,-0.04881751236522492,0.2855726644092054,-0.3409785173439891,0.6433776080882604,-0.0746950171446203,-0.08976377125830887,0.019686890015416892,0.7023878085359518,0.0041649228698868316,0.011449314273579309,0.08734766192358479,1.0,0.7819094039880672,0.34812897739717263,-0.2698059386315298,-0.011071608408501075,0.73629156610366,-0.17029509770686344,0.20439714895090325,-0.1599678844895064,-0.1582074711295105,-0.007334593166335547,-0.5714760731970073,0.21356095324855867
Precuneus_L,-0.04174847390049022,0.2536247778399019,-0.0407892776147682,0.6372956402899872,-0.261808060788502,0.5019507877693118,0.6735060551218831,0.05974677145653808,0.18021081769203187,0.15275343219014545,0.06731569840285478,0.19971252833893638,0.4311892504772393,0.7155423082098361,-0.2871486299791758,-0.17510605974161525,0.3023071160826636,0.6068477695293194,-0.033939866520010166,0.7528534320656975,-0.0752169862598413,0.23068394877569237,0.37644449066358715,0.7831475448624836,-0.11611202657657246,0.4776968033307269,0.3585241626784379,0.7819094039880672,1.0,0.6182539719323366,-0.2830641878529048,0.24965801066715043,0.7572551408236327,0.3155159007865506,0.5742014782352677,0.12574656728959568,0.035626024896077205,0.20593435345177613,-0.40934815486087717,0.5724386532677912
SupraMarginal_R,0.0055563500758731505,0.4291875454238025,-0.15831164614406237,0.4626864510586994,-0.22314658228486417,0.4576144408857904,0.6718115900260635,0.190916300291614,0.24432432038737215,0.14002623048777432,-0.049715683746690005,0.36638158496804407,0.4152453580895716,0.7166817752612653,0.17101778474419946,-0.09574943316657432,0.4075642650535338,0.5245656851258443,-0.02826070591859744,0.488495353998025,0.20118840255052153,-0.13729342855442622,0.5405948178900256,0.44653899092136523,-0.04466733192779975,0.2742566867869027,-0.012593644087129315,0.34812897739717263,0.6182539719323366,1.0,0.11357874304271323,0.09540453344462548,0.6031485802170047,0.275740778567035,0.6263833896527183,0.09206528880649402,0.24871731330922395,0.11504560963282438,-0.08754854371776925,0.32413451191506143
Vermis_6,-0.08447369755090871,0.13043165882318597,-0.15996201280767908,-0.10418327097814857,0.2571833001332575,-0.023569579737918886,0.2523199886364052,0.4999751402996849,0.31355717288374063,-0.11651331069690882,-0.10387850156514895,-0.01467702934822131,-0.017268448160142405,-0.11155522890896034,0.8053405259994459,0.14635290574027288,0.23387598260296885,0.08434783922933549,-0.14487618613897119,-0.20850045639609163,0.4784965649405164,-0.328429549171154,0.3546191707272592,-0.3025065106477723,0.10239762264742747,-0.14347847233641092,-0.5792917233275324,-0.2698059386315298,-0.2830641878529048,0.11357874304271323,1.0,-0.2228942771794777,-0.0010869216390065426,0.007024486245956154,0.21616195479318706,0.10658463142108798,0.6694307223802269,0.08276052112338438,0.4247027442393342,-0.31070193554280906
Thal_PuL_L,0.32619957382743153,0.3002120136404835,0.3039515905483915,0.2399689264233111,0.06316895992197608,0.34568235366445005,-0.13618423822150505,-0.295766380857145,-0.13801281020993256,0.4623419097310384,0.17343053834184227,0.24837838141707097,0.153059321634942,0.17430049842372256,-0.25706983195913563,0.2512286932947931,0.340900404751854,0.4851001697737068,0.4473398567912768,0.15004362002960187,-0.10900122844901323,0.44715979184811455,0.3568805883972375,0.2046567203992848,-0.056278473607665455,0.37432014312000417,0.4025504273093429,-0.011071608408501075,0.24965801066715043,0.09540453344462548,-0.2228942771794777,1.0,-0.19722649781191331,0.4242705345791595,0.3787009150035426,0.3870027481471964,-0.0015950426945470636,0.501213500938754,0.0549036868636427,0.3598720220811015
Occipital_Sup_R,-0.32993823072878176,0.023983024794590014,-0.33803336793154865,0.37591023879518226,-0.1988361415479255,0.22821530256816525,0.8799432594412225,0.2893113203861395,0.2734653437023998,-0.19536447836479287,-0.08512820605508296,-0.07792316579615645,0.3343767633529037,0.5764901752326264,0.10977569435080495,-0.3358522802897904,0.09713831173807239,0.2735273594910031,-0.3830616686751436,0.5145669572647754,0.08958740816430301,-0.2038833943269289,0.22844259220967036,0.5197019813688429,0.01382573694572354,0.11187040814131341,-0.16644001359861782,0.73629156610366,0.7572551408236327,0.6031485802170047,-0.0010869216390065426,-0.19722649781191331,1.0,0.023250005360891075,0.29221548192378255,-0.16232441725384156,0.12166950995379033,-0.031916662643132455,-0.32449529609521316,0.1779694491416957
