,Hippocampus_R,Occipital_Sup_L,Rolandic_Oper_L,Thal_PuA_R,VTA_R,Cerebellum_4_5_R,Thal_LP_R,Parietal_Sup_R,OFCmed_R,Thal_MDl_L,Putamen_R,Paracentral_Lobule_L,Thal_VL_L,Lingual_R,Occipital_Inf_R,LC_L,Thal_PuM_R,Occipital_Inf_L,Amygdala_L,Thal_LP_L,Cerebellum_Crus1_L,Frontal_Inf_Tri_R,Vermis_1_2,Calcarine_R,LC_R,ACC_pre_R,Lingual_L,Cerebellum_9_R,Thal_PuI_L,Temporal_Inf_L,Putamen_L,Thal_VA_R,Cerebellum_8_R,Cuneus_R,Frontal_Inf_Orb_2_L
Cerebellum_Crus1_L,-0.5878042253809063,0.032395307039475775,-0.0494304481126294,0.3581607798091197,-0.01966448432113003,-0.285596061280427,0.002179069009971351,-0.04565852648563617,-0.14797666939647877,0.5274115802404065,-0.33657635891405885,0.17300751888716437,0.3704470327394407,0.1001962008783063,-0.6324315818797482,0.13386120252551018,0.07622943384165418,0.09685755327427623,0.26256682009307014,0.23959140869406645,1.0,-0.44510130909289186,0.6642049954969264,0.34884226669153445,0.4664166309115734,-0.34503231066948903,0.22661591777645113,-0.03538368448102226,-0.010838951669907948,0.3084875377946053,0.4143957662808804,-0.35004015319567433,0.5608642025739239,0.30470133352434,0.1095706448387034
Frontal_Inf_Tri_R,0.7804713642928216,-0.019994337487874332,-0.3205088316140846,-0.32365146041938736,0.0800490985617651,0.5420471510880361,-0.07132523010575725,0.157071211945593,0.13665248416815723,-0.3479378210299408,0.6005805322974545,-0.09355296717770338,-0.10359027471848697,-0.15330367986007523,0.5435375717615898,-0.3313414956299988,0.13578513510475548,-0.21565874558655102,-0.45956752201022316,0.11417851819586926,-0.44510130909289186,1.0,-0.4876589800636029,-0.4398532889751455,-0.47137279875619514,0.4932984868161197,-0.42939528186947473,0.3100207611742068,-0.004382901149068296,-0.026277300531406398,-0.38612251204384973,0.5587578954437361,-0.609688892551985,-0.28301198179189946,-0.17984261406880914
Vermis_1_2,-0.5053248426619071,-0.08416831333284444,0.3008638412372543,0.653826996877816,-0.09362223855378868,-0.25942484734953225,0.052464356428663296,-0.19337183684282996,-0.1957521981390947,0.498085349863227,-0.23780390134641052,0.44914727497898405,0.5431515882414742,0.41245180748769994,-0.5958284653617006,0.3044307384083475,0.48722703408600754,0.1772049264482412,0.5513808389255868,0.05801486613479957,0.6642049954969264,-0.4876589800636029,1.0,0.5984164753355524,0.6936370215187366,-0.34821867482746777,0.5372716872687744,-0.050337299896634956,-0.06425000115250519,0.1583017159845916,0.6347421748431689,-0.39946474870505844,0.6390770010655451,0.3938670892679948,0.27767426713424664
Calcarine_R,-0.3338272450049916,0.007299645819991537,0.3400885893003728,0.7135780624264604,-0.019223302305246694,-0.1572479570856599,0.13454165642603996,0.047708348959033316,-0.18794914330255083,0.3646264234034969,-0.2620933239337165,0.36339512147247743,0.38099927167241343,0.8330906336582561,-0.34042052193114997,0.2316650141184428,0.33558787251031585,-0.040193399960149284,0.384210792367995,-0.31435317460447915,0.34884226669153445,-0.4398532889751455,0.5984164753355524,1.0,0.6237046093470143,-0.6006252242096405,0.8702723107352962,-0.34654512174709284,-0.07804841834047711,0.1798992736056887,0.34401090146057656,-0.34988776819665496,0.43014207559321255,0.5139528408473568,-0.13158545431541743
LC_R,-0.5268153897575041,-0.15391311679561154,0.23240214363736833,0.6778383131832678,-0.2556214359119484,-0.4091328503968966,0.30474574434243606,-0.3335148364011524,-0.3708227914965969,0.14057147939834572,-0.22386396599371697,0.481751634333387,0.22041404586338162,0.5096817510278152,-0.4776216134216834,0.3096656577244552,0.2305670693261811,0.08416340555927905,0.48651582029698326,-0.28614153412242443,0.4664166309115734,-0.47137279875619514,0.6936370215187366,0.6237046093470143,1.0,-0.29048821631605776,0.5442672814285953,-0.21921407622514866,-0.3439412568576962,0.0862654251003359,0.5454183143010266,-0.4511187611726645,0.4232657625536568,0.2389252053247261,0.29518513574323746
ACC_pre_R,0.46907362015992105,-0.12645289771825274,0.024175056201660543,-0.3869123089431402,0.24713317237905885,0.20809951708306273,-0.07199484261036129,-0.49336221940794667,0.21374763897164473,-0.31154910131487334,0.6761088209673091,-0.055157255994151125,-0.19116851826711642,-0.38063804522604877,0.29693145204566884,-0.04412801474970586,-0.1757221192174946,-0.11494979775320177,-0.21524759079496542,-0.01981235751486548,-0.34503231066948903,0.4932984868161197,-0.34821867482746777,-0.6006252242096405,-0.29048821631605776,1.0,-0.4986616536172097,0.13169261376711114,0.1386691156565386,-0.24591849861962903,0.11218628920197896,0.6221888422265357,-0.42141303422796556,-0.6334969603493369,0.43552997543211913
Lingual_L,-0.22716875443938747,-0.19526986024189685,0.5593077494635941,0.703273747079332,0.01748481491747217,-0.10919025816994447,0.07603592432438518,0.0015253571981316898,-0.0652533502835684,0.29368023951625405,-0.13579953753384602,0.45688066630135943,0.3980968494137465,0.8368230013386155,-0.40339021905993855,0.2679523436033548,0.3277154735720673,-0.11695058579730824,0.29700442938556343,-0.40689460807287414,0.22661591777645113,-0.42939528186947473,0.5372716872687744,0.8702723107352962,0.5442672814285953,-0.4986616536172097,1.0,-0.33286042316780623,-0.17809252239382498,0.0029611952776798533,0.39759004146968857,-0.2117850593958294,0.3641096992079773,0.3458611582310969,0.04573064628838438
Cerebellum_9_R,0.3026117125026542,-0.016250466879853383,-0.2310392799097331,-0.16714870855177805,-0.19540225131206973,0.2387552085213116,0.12338342656381587,0.04315950768756678,-0.007371137883661911,-0.023930056158782607,0.13839727131021273,-0.14492711678233308,-0.07089745016659667,-0.2834532377254702,0.18056554548880493,-0.17237444907284746,0.06891304203976166,-0.12071318245880204,-0.006976074322753143,0.35613268602345766,-0.03538368448102226,0.3100207611742068,-0.050337299896634956,-0.34654512174709284,-0.21921407622514866,0.13169261376711114,-0.33286042316780623,1.0,-0.1115700167379331,0.24705405039268402,-0.19974370435542046,0.06990517432698298,-0.13973554093195803,-0.07868742335049374,-0.04811867285478659
Thal_PuI_L,-0.05144044510549543,0.37742831440055014,0.06523629781864754,-0.1644017511430378,0.45615699024267076,0.10436441990067732,-0.33783005552311773,0.14501429001128077,-0.06371399547589045,0.38023629295743494,-0.05036154683024554,-0.16245650829633604,0.20879785649035817,-0.2893586746648936,-0.042396986065809016,-0.05023091721254158,0.11358877906670631,0.06219038407324678,0.06880580079313176,0.27573878899721027,-0.010838951669907948,-0.004382901149068296,-0.06425000115250519,-0.07804841834047711,-0.3439412568576962,0.1386691156565386,-0.17809252239382498,-0.1115700167379331,1.0,-0.10985614261433607,0.008730410569791139,0.19644345853455433,0.11399717985215028,0.17496862660460785,-0.01082413296132426
Temporal_Inf_L,0.019134754848163498,0.24137538257856717,-0.2583682748648169,0.07478303247338675,-0.3765201379509431,0.1808471100740253,0.15006436947211582,0.09872982882450657,-0.10153668663745173,0.15693397647570465,-0.12582002446511795,-0.06503452107527267,-0.051431842102615144,0.12887643642504418,0.15385357012674142,0.02719908495371742,0.02307840346640603,-0.009954616936830937,-0.00031739757495274115,0.0813827779681708,0.3084875377946053,-0.026277300531406398,0.1583017159845916,0.1798992736056887,0.0862654251003359,-0.24591849861962903,0.0029611952776798533,0.24705405039268402,-0.10985614261433607,1.0,-0.045267427534552755,-0.24975664859560073,0.08696452061169346,0.23893110680551535,-0.20579466839558164
Putamen_L,-0.2591174971082129,-0.2913788529925123,0.5955185150301613,0.5484005100535868,-0.03234385620576506,-0.3347824242991939,0.000626883247243711,-0.5663989075522539,-0.0709906054388152,0.1694698922504758,0.22989272704905941,0.5059596026267422,0.4565753559661966,0.2277922925754149,-0.6167617729383185,0.4407087386781425,0.2929652581747235,0.10887463221120243,0.38544544642468664,-0.15979126401951435,0.4143957662808804,-0.38612251204384973,0.6347421748431689,0.34401090146057656,0.5454183143010266,0.11218628920197896,0.39759004146968857,-0.19974370435542046,0.008730410569791139,-0.045267427534552755,1.0,0.060581226271965084,0.40911627944154993,-0.08583773650281412,0.7825100938570994
Thal_VA_R,0.7019128519546317,-0.24065996241698764,0.13975963946444464,-0.20276262647331633,0.34240390052672737,0.3705204586590188,-0.13155209747789665,-0.18852624821987968,0.2587231355336432,-0.30778236358012623,0.7654608399589384,0.05648701301281649,0.06834918723040535,-0.12085414392083221,0.21316562115809423,-0.17856908000033153,0.04178390035192275,-0.2175723340378226,-0.43561151814742655,-0.019680526527273697,-0.35004015319567433,0.5587578954437361,-0.39946474870505844,-0.34988776819665496,-0.4511187611726645,0.6221888422265357,-0.2117850593958294,0.06990517432698298,0.19644345853455433,-0.24975664859560073,0.060581226271965084,1.0,-0.38127157551045293,-0.587550563585956,0.2244985570102546
Cerebellum_8_R,-0.6333954707975586,-0.014639910219665939,0.3796434082611928,0.47139576527066496,0.1521529972769315,-0.47380112818330683,0.024367362117332588,-0.018448252729250127,-0.06036595561785493,0.553016481649258,-0.4757047743147159,0.38054735259122546,0.5072465478695847,0.10531307357167005,-0.5791937924722966,0.36305302054790656,0.2767340173327989,0.3441264204027246,0.3796225810261691,0.19177879690800406,0.5608642025739239,-0.609688892551985,0.6390770010655451,0.43014207559321255,0.4232657625536568,-0.42141303422796556,0.3641096992079773,-0.13973554093195803,0.11399717985215028,0.08696452061169346,0.40911627944154993,-0.38127157551045293,1.0,0.371999104765193,0.14988396392761105
Cuneus_R,-0.46159468421012195,0.569316055631489,-0.09314754630417658,0.24609049116648885,-0.07519373960839433,0.13707597713275388,-0.07714399133018318,0.5317732279496638,-0.10079295158811796,0.5718330092448717,-0.5368827182241519,-0.13149706434565714,0.26556522685492556,0.31037827481109614,-0.10472183955351021,0.0042135412099924795,0.2700563088617562,0.16292088429532198,0.31794200954328344,0.21150486454477627,0.30470133352434,-0.28301198179189946,0.3938670892679948,0.5139528408473568,0.2389252053247261,-0.6334969603493369,0.3458611582310969,-0.07868742335049374,0.17496862660460785,0.23893110680551535,-0.08583773650281412,-0.587550563585956,0.371999104765193,1.0,-0.38872691344391896
Frontal_Inf_Orb_2_L,-0.07016879547075097,-0.39524713180782595,0.5803894852966007,0.25909919685269683,-0.05908795779156455,-0.3147076312290156,0.005842125630924353,-0.5912731790174445,-0.11668934172102956,-0.07704798902249758,0.29002270964949434,0.45592154532667983,0.16941420483851652,-0.15686837347630042,-0.4780624273731119,0.3535880456464501,0.08661771870526815,0.019490060229052416,0.23294305261891302,-0.19840571091138784,0.1095706448387034,-0.17984261406880914,0.27767426713424664,-0.13158545431541743,0.29518513574323746,0.43552997543211913,0.04573064628838438,-0.04811867285478659,-0.01082413296132426,-0.20579466839558164,0.7825100938570994,0.2244985570102546,0.14988396392761105,-0.38872691344391896,1.0
